system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_04_20_Andes_MCDS4S5_Yearly_Monthly_2000_04_20,15.84,2000-04-01,5400.0,1.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_21_Andes_MCDS4S5_Yearly_Monthly_2000_04_21,16.39,2000-04-01,5500.0,5.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_22_Andes_MCDS4S5_Yearly_Monthly_2000_04_22,16.87,2000-04-01,5600.0,21.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_23_Andes_MCDS4S5_Yearly_Monthly_2000_04_23,16.75,2000-04-01,5700.0,40.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_24_Andes_MCDS4S5_Yearly_Monthly_2000_04_24,16.20,2000-04-01,5800.0,51.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_25_Andes_MCDS4S5_Yearly_Monthly_2000_04_25,15.53,2000-04-01,5900.0,85.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_26_Andes_MCDS4S5_Yearly_Monthly_2000_04_26,14.81,2000-04-01,6000.0,87.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_27_Andes_MCDS4S5_Yearly_Monthly_2000_04_27,14.81,2000-04-01,6100.0,91.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_28_Andes_MCDS4S5_Yearly_Monthly_2000_04_28,14.81,2000-04-01,6200.0,86.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_0_Andes_MCDS4S5_Yearly_Monthly_2000_05_0,12.22,2000-05-01,3400.0,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_1_Andes_MCDS4S5_Yearly_Monthly_2000_05_1,12.24,2000-05-01,3500.0,7.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_2_Andes_MCDS4S5_Yearly_Monthly_2000_05_2,14.15,2000-05-01,3600.0,5.47,"{""type"":""MultiPoint"",""coordinates"":[]}"
